Name,WHO.Region,Cases_cumulative.total,Cases_cumulative.total.per.100000.population,Cases_newly.reported.in.last.7.days,Cases_newly.reported.in.last.7.days.per.100000.population,Cases_newly.reported.in.last.24.hours,Death_cumulative.total,Deaths_cumulative.total.per.100000.population,Deaths_newly.reported.in.last.7.days,Deaths_newly.reported.in.last.7.days.per.100000.population,Deaths_newly.reported.in.last.24.hours,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Afghanistan,Eastern Mediterranean,202993,521.453,844,2.168,159,7821,20.091,3,0.008,0,10/24/2022,12055358,11084618,30.968,28.474,10386823,26.682,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2/22/2021,11,NA,NA
Albania,Europe,331800,11529.641,174,6.046,17,3593,124.852,1,0.035,0,10/16/2022,2991576,1339100,104,47.053,1265900,44.481,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",1/13/2021,5,363122,12.759
Algeria,Africa,270836,617.627,59,0.135,7,6881,15.692,0,0,0,9/4/2022,15267442,7840131,34.817,17.879,6481186,14.78,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,SII - Covishield,Sinovac - CoronaVac",1/30/2021,4,575651,1.313
American Samoa,Western Pacific,8257,14959.146,0,0,0,34,61.598,0,0,0,8/23/2022,111316,44885,201.67,81.318,41423,75.046,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/21/2020,3,24160,43.77
Andorra,Europe,46535,60227.787,86,111.305,0,155,200.608,0,0,0,10/16/2022,154320,57898,199.7,76.005,53482,70.208,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",1/20/2021,3,42940,56.369
Angola,Africa,103131,313.79,0,0,0,1917,5.833,0,0,0,10/16/2022,22814412,14220830,69.416,43.269,7814121,23.776,SII - Covishield,3/10/2021,1,1127156,3.43
Anguilla,Americas,3866,25769.897,0,0,0,12,79.989,0,0,0,10/21/2022,24434,10852,162.872,72.337,10366,69.097,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2/5/2021,2,2998,19.984
Antigua and Barbuda,Americas,9106,9298.573,0,0,0,146,149.088,0,0,0,10/21/2022,136512,64290,139.399,65.65,62384,63.703,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",3/1/2021,6,9838,10.046
Argentina,Americas,9717546,21501.006,0,0,0,129979,287.591,0,0,0,10/7/2022,109652736,41324100,242.617,91.434,37840119,83.725,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",12/29/2020,7,30810184,68.17
Armenia,Europe,445242,15025.543,142,4.792,142,8709,293.902,3,0.101,3,5/22/2022,2150112,1129669,72.6,38.123,985807,33.268,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",6/16/2021,8,40725,1.374
Aruba,Americas,43334,40587.828,43,40.275,0,232,217.298,0,0,0,10/21/2022,173634,89915,162.63,84.217,83719,78.414,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",2/17/2021,2,NA,NA
Australia,Western Pacific,10364859,40646.691,0,0,0,14738,57.796,0,0,0,9/28/2022,63461493,22443557,248.87,88.014,21784904,85.431,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2/21/2021,5,14265648,55.944
Austria,Europe,5436721,61079.451,37932,426.151,4260,20979,235.691,57,0.64,1,10/16/2022,19596170,6889593,220.2,77.507,6671600,74.953,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",12/30/2020,6,5359031,60.207
Azerbaijan,Europe,823247,8119.467,293,2.89,45,9944,98.075,7,0.069,0,10/16/2022,13763859,5410598,135.7,53.363,4873700,48.068,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",1/20/2021,5,3479563,34.318
Bahamas,Americas,37369,9502.751,5,1.271,0,833,211.828,0,0,0,10/21/2022,362968,173529,92.301,44.128,165317,42.039,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",3/14/2021,4,32960,8.382
Bahrain,Eastern Mediterranean,689820,40540.088,2229,130.996,340,1527,89.74,3,0.176,0,10/24/2022,3473218,1240847,204.118,72.923,1226330,72.07,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",11/4/2020,11,1006041,59.124
Bangladesh,South-East Asia,2035240,1235.805,892,0.542,88,29423,17.866,8,0.005,0,10/25/2022,318255850,136574231,193.246,82.928,124008941,75.299,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",1/27/2021,8,57672678,35.019
Barbados,Americas,103014,35846.542,0,0,0,560,194.867,0,0,0,10/21/2022,380666,163707,132.463,56.966,154789,53.863,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",1/8/2021,5,62170,21.634
Belarus,Europe,994037,10519.666,0,0,0,7118,75.328,0,0,0,10/16/2022,16102869,6512843,170.4,68.924,6407148,67.805,"Beijing CNBG - BBIBP-CorV,Chumakov - Covi-Vac,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light",2/3/2021,4,3414776,36.138
Belgium,Europe,4612239,40028.319,4756,41.276,0,32902,285.547,22,0.191,0,10/16/2022,28259334,9248836,245.3,80.268,9152369,79.431,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/30/2020,4,7222211,62.68
Belize,Americas,68943,17338.568,17,4.275,0,687,172.775,0,0,0,10/21/2022,501240,251332,126.058,63.208,220761,55.519,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",3/1/2021,5,50990,12.824
Benin,Africa,27782,229.164,0,0,0,163,1.345,0,0,0,10/16/2022,3693045,3207889,30.463,26.461,2691413,22.201,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/29/2021,5,NA,NA
Bermuda,Americas,18340,29450.966,0,0,0,148,237.663,0,0,0,10/21/2022,132042,48554,212.037,77.97,47657,76.529,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",1/11/2021,2,31829,51.112
Bhutan,South-East Asia,62380,8084.416,49,6.35,49,21,2.722,0,0,0,10/23/2022,2010782,699028,260.596,90.594,677606,87.817,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",3/27/2021,5,634148,82.185
Bolivia (Plurinational State of),Americas,1109309,9503.187,71,0.608,0,22239,190.516,0,0,0,10/21/2022,15417972,7411632,132.082,63.494,6216751,53.257,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",1/30/2021,7,2289676,19.615
Bonaire,Americas,9516,45498.446,17,81.281,0,31,148.219,0,0,0,10/21/2022,41537,17460,198.599,83.481,15919,76.113,,,NA,8158,39.005
Bosnia and Herzegovina,Europe,399914,12189.471,218,6.645,0,16169,492.835,4,0.122,0,1/29/2022,1924950,943394,58.7,28.755,846080,25.789,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Gamaleya - Sputnik V",,4,NA,NA
Botswana,Africa,326324,13876.52,0,0,0,2782,118.301,0,0,0,10/2/2022,2891400,1589621,122.953,67.597,1378230,58.608,"Bharat - Covaxin,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/26/2021,6,466951,19.857
Brazil,Americas,34807075,16375.221,24925,11.726,0,687907,323.63,341,0.16,0,10/21/2022,486682379,184955086,228.963,87.013,167279671,78.698,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",1/17/2021,5,104507620,49.166
British Virgin Islands,Americas,7305,24159.143,0,0,0,64,211.661,0,0,0,10/21/2022,41453,19466,137.094,64.378,18261,60.393,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S",2/11/2021,2,3726,12.323
Brunei Darussalam,Western Pacific,237656,54323.979,0,0,0,135,30.859,0,0,0,10/7/2022,1278500,450060,292.243,102.876,445424,101.816,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",4/3/2021,5,337552,77.158
Bulgaria,Europe,1278236,18387.964,3900,56.103,121,37860,544.632,39,0.561,0,10/16/2022,4566807,2103303,65.7,30.257,2074596,29.844,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/30/2020,4,814226,11.713
Burkina Faso,Africa,21631,103.481,0,0,0,387,1.851,0,0,0,10/2/2022,4070678,3079151,19.474,14.73,2658480,12.718,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",6/2/2021,3,NA,NA
Burundi,Africa,50470,424.446,0,0,0,15,0.126,0,0,0,10/16/2022,25258,23330,0.212,0.196,22747,0.191,Beijing CNBG - BBIBP-CorV,10/18/2021,1,49,0
Cabo Verde,Africa,62397,11222.744,0,0,0,410,73.743,0,0,0,9/25/2022,859940,356734,154.669,64.162,308720,55.526,"Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",3/18/2021,4,749,0.135
Cambodia,Western Pacific,137988,825.338,9,0.054,3,3056,18.279,0,0,0,10/14/2022,44361693,15207117,265.338,90.957,14564924,87.116,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2/10/2021,7,10242891,61.265
Cameroon,Africa,123629,465.719,0,0,0,1960,7.383,0,0,0,10/9/2022,1901047,1615128,7.161,6.084,1263716,4.761,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",4/12/2021,4,61387,0.231
Canada,Americas,4314718,11432.093,0,0,0,46025,121.946,0,0,0,10/21/2022,88837589,32862216,235.38,87.07,31496105,83.451,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",12/14/2020,5,19383516,51.358
Cayman Islands,Americas,31006,47178.941,80,121.729,0,34,51.735,0,0,0,10/21/2022,149153,61787,226.952,94.016,60341,91.815,Pfizer BioNTech - Comirnaty,1/15/2021,1,24307,36.986
Central African Republic,Africa,15259,315.937,0,0,0,113,2.34,0,0,0,10/16/2022,1722083,1674402,35.656,34.668,1584909,32.815,"Bharat - Covaxin,SII - Covishield",3/19/2021,2,214090,4.433
Chad,Africa,7620,46.39,7,0.043,0,194,1.181,1,0.006,0,10/2/2022,3879297,3879297,23.617,23.617,3752088,22.843,Beijing CNBG - BBIBP-CorV,6/4/2021,1,NA,NA
Chile,Americas,4737212,24781.137,22114,115.682,0,61607,322.276,58,0.303,0,10/21/2022,62461051,18073806,326.744,94.547,17684866,92.512,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",12/21/2020,5,15673751,81.992
China,Western Pacific,8947493,608.141,254520,17.299,33774,28389,1.93,508,0.035,88,10/2/2022,3457953632,1307474015,235.029,88.866,1277277509,86.814,"Anhui ZL - Zifivax,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,IMB - Covidful,Pfizer BioNTech - Comirnaty,Shenzhen - LV-SMENP-DC,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",7/22/2020,8,776425498,52.772
Colombia,Americas,6309168,12399.39,0,0,0,141827,278.732,0,0,0,10/21/2022,89120782,42816825,175.149,84.148,36745579,72.216,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2/17/2021,5,14267329,28.04
Comoros,Africa,8762,1007.589,37,4.255,0,160,18.399,0,0,0,10/2/2022,835021,438825,96.023,50.463,397080,45.662,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",4/10/2021,3,NA,NA
Congo,Africa,24775,448.978,0,0,0,386,6.995,0,0,0,7/31/2022,833210,695760,15.1,12.609,654119,11.854,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,SII - Covishield",3/23/2021,4,NA,NA
Cook Islands,Western Pacific,6389,36375.541,0,0,0,1,5.693,0,0,0,5/10/2022,39612,15020,225.529,85.516,14676,83.557,Pfizer BioNTech - Comirnaty,5/17/2021,1,9916,56.456
Costa Rica,Americas,1133096,22243.222,0,0,0,8990,176.478,0,0,0,10/21/2022,12169521,4500155,238.894,88.34,4219797,82.837,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/24/2020,3,2639586,51.816
Croatia,Europe,1246920,30726.203,2278,56.134,189,17136,422.26,60,1.479,8,10/16/2022,5356347,2317443,132,57.14,2244157,55.3,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",12/23/2020,6,954118,23.511
Cuba,Americas,1111278,9811.209,11,0.097,0,8530,75.309,0,0,0,10/21/2022,37891606,10707644,334.536,94.535,9996067,88.253,"CIGB - CIGB-66,Finlay - Soberana Plus,Finlay - Soberana-02",,3,8613584,76.047
Cyprus,Europe,599118,67467.863,2821,317.678,0,1194,134.459,3,0.338,0,10/16/2022,1824911,667243,205.5,75.14,655639,73.833,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",12/23/2020,5,485225,54.642
Czechia,Europe,4156923,38871.767,5564,52.029,97,41580,388.818,45,0.421,2,10/16/2022,18215235,6967841,170.3,65.157,6882776,64.361,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",12/23/2020,5,4330325,40.493
Democratic Republic of the Congo,Africa,93085,103.934,0,0,0,1445,1.613,0,0,0,10/16/2022,6134888,5719214,6.85,6.386,3720706,4.154,SII - Covishield,4/19/2021,1,NA,NA
Denmark,Europe,3332764,57236.814,6817,117.075,0,7321,125.731,74,1.271,0,10/16/2022,13189213,4808729,226.5,82.585,4771093,81.939,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Unknown Vaccine",12/16/2020,5,3655731,62.783
Djibouti,Eastern Mediterranean,15690,1588.057,0,0,0,189,19.13,0,0,0,10/20/2022,274234,253611,27.756,25.669,233243,23.608,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/15/2021,11,NA,NA
Dominica,Americas,15760,21891.625,0,0,0,74,102.791,0,0,0,10/21/2022,67647,32995,93.966,45.832,30659,42.587,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2/12/2021,5,3993,5.547
Dominican Republic,Americas,647272,5966.79,0,0,0,4384,40.413,0,0,0,10/21/2022,15821905,7287656,145.852,67.18,6054362,55.811,"AstraZeneca - Vaxzevria,SII - Covishield,Sinovac - CoronaVac",2/16/2021,3,2479887,22.861
Ecuador,Americas,1007901,5712.735,218,1.236,0,35913,203.553,5,0.028,0,10/21/2022,38385395,15277121,217.567,86.59,14157180,80.242,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",1/20/2021,4,7331649,41.555
Egypt,Eastern Mediterranean,515406,503.649,5,0.005,5,24798,24.232,0,0,0,10/23/2022,100118154,53448279,97.834,52.229,39871333,38.962,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",1/24/2021,10,9467053,9.251
El Salvador,Americas,201785,3110.987,0,0,0,4230,65.215,0,0,0,10/21/2022,11250496,4634978,173.453,71.459,4329694,66.752,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2/17/2021,6,1847442,28.483
Equatorial Guinea,Africa,17074,1216.977,18,1.283,0,183,13.044,0,0,0,7/24/2022,488738,270109,34.836,19.252,214032,15.255,"Beijing CNBG - BBIBP-CorV,Sinovac - CoronaVac",2/12/2021,2,4597,0.328
Eritrea,Africa,10188,287.276,3,0.085,0,103,2.904,0,0,0,7/3/2022,NA,0,NA,0,0,0,,,NA,NA,NA
Estonia,Europe,606633,45646.648,183,13.77,0,2739,206.099,10,0.752,0,10/16/2022,2152705,844142,162,63.518,834837,62.818,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",12/23/2020,5,481619,36.24
Eswatini,Africa,73558,6340.311,32,2.758,0,1422,122.569,0,0,0,9/25/2022,773579,492300,66.678,42.434,490673,42.293,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",3/19/2021,3,147518,12.715
Ethiopia,Africa,493940,429.649,65,0.057,1,7572,6.586,0,0,0,7/31/2022,52509414,43111242,45.675,37.5,36707357,31.93,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Janssen - Ad26.COV 2-S,SII - Covishield",3/13/2021,4,2421781,2.107
Falkland Islands (Malvinas),Americas,1930,55412.001,0,0,0,0,0,0,0,0,6/21/2022,9390,3220,269.595,92.449,2976,85.444,AstraZeneca - AZD1222,,1,2543,73.012
Faroe Islands,Europe,34658,70926.021,0,0,0,28,57.301,0,0,0,2/18/2022,103894,41715,212.614,85.368,40895,83.69,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2,21284,43.557
Fiji,Western Pacific,68264,7614.968,7,0.781,0,878,97.942,0,0,0,9/29/2022,1542401,710182,172.058,79.222,638724,71.251,"AstraZeneca - Vaxzevria,Moderna - Spikevax,SII - Covishield",3/7/2021,3,166760,18.602
Finland,Europe,1348737,24410.239,5022,90.891,0,6568,118.872,1,0.018,0,10/16/2022,12916648,4542768,233.8,82.218,4358358,78.88,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Unknown Vaccine",12/23/2020,5,3055298,55.297
France,Europe,35723289,54925.647,169664,260.864,0,153243,235.616,445,0.684,0,10/16/2022,153069144,53664707,227.4,79.716,52157654,77.477,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",12/30/2020,6,40710314,60.473
French Guiana,Americas,94196,31537.22,0,0,0,411,137.605,0,0,0,10/21/2022,239347,100240,80.134,33.561,90783,30.395,"Moderna - Spikevax,Pfizer BioNTech - Comirnaty",1/13/2021,2,46001,15.401
French Polynesia,Western Pacific,76758,27324.96,27,9.612,0,649,231.036,0,0,0,8/29/2022,496275,190658,176.668,67.872,185669,66.096,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",1/18/2021,2,111840,39.814
Gabon,Africa,48945,2199.05,31,1.393,0,306,13.748,0,0,0,9/18/2022,569829,310579,25.602,13.954,257257,11.558,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty",3/23/2021,3,2581,0.116
Gambia,Africa,12580,520.551,138,5.71,17,372,15.393,0,0,0,8/7/2022,815861,452514,33.76,18.725,357390,14.789,"Beijing CNBG - BBIBP-CorV,SII - Covishield",3/10/2021,2,9007,0.373
Georgia,Europe,1780691,44638.077,0,0,0,16900,423.646,0,0,0,10/2/2022,2720694,1293602,68.2,32.428,1178985,29.555,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",3/17/2021,4,248107,6.22
