Name,WHO.Region,Cases_cumulative.total,Cases_cumulative.total.per.100000.population,Cases_newly.reported.in.last.7.days,Cases_newly.reported.in.last.7.days.per.100000.population,Cases_newly.reported.in.last.24.hours,Death_cumulative.total,Deaths_cumulative.total.per.100000.population,Deaths_newly.reported.in.last.7.days,Deaths_newly.reported.in.last.7.days.per.100000.population,Deaths_newly.reported.in.last.24.hours,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Norway,Europe,1464513,27284.419,484,9.017,0,4208,78.397,21,0.391,0,10/16/2022,11881760,4344292,221.4,80.936,4058588,75.613,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/23/2020,4,2991787,55.738
Oman,Eastern Mediterranean,398775,7808.972,115,2.252,0,4628,90.627,0,0,0,10/9/2022,7084586,3257098,138.733,63.782,3048323,59.693,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",12/29/2020,11,779165,15.258
Pakistan,Eastern Mediterranean,1573725,712.44,406,0.184,0,30624,13.864,1,0,0,10/12/2022,313046883,154424839,141.719,69.91,131238010,59.413,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2/3/2021,11,45222280,20.473
Palau,Western Pacific,5513,30472.032,0,0,0,7,38.691,0,0,0,9/6/2022,50160,20094,277.25,111.066,18403,101.719,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",1/3/2021,3,12856,71.059
Panama,Americas,989608,22935.375,0,0,0,8506,197.137,0,0,0,10/21/2022,8654073,3509310,200.569,81.333,3156571,73.157,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",1/20/2021,2,1740451,40.337
Papua New Guinea,Western Pacific,45465,508.158,100,1.118,0,668,7.466,0,0,0,10/16/2022,490807,356454,5.486,3.984,296607,3.315,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",3/30/2021,4,28261,0.316
Paraguay,Americas,717628,10061.327,0,0,0,19598,274.769,0,0,0,10/21/2022,9419313,3967215,132.061,55.621,3518399,49.329,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Julphar - Hayat-Vax,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2/22/2021,8,1617513,22.678
Peru,Americas,4153605,12597.426,1321,4.006,0,216884,657.785,7,0.021,0,10/21/2022,84691243,29898943,256.859,90.68,28261808,85.715,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2/9/2021,4,21277537,64.532
Philippines,Western Pacific,4003459,3653.422,8826,8.054,1370,64033,58.434,254,0.232,112,10/13/2022,167252222,77931484,152.629,71.118,73362164,66.948,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Julphar - Hayat-Vax,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",3/1/2021,11,20261137,18.49
Pitcairn Islands,Western Pacific,4,8000,0,0,0,0,0,0,0,0,2/28/2022,138,55,276,110,37,74,AstraZeneca - Vaxzevria,5/17/2021,1,23,46
Poland,Europe,6340435,16703.757,5375,14.16,150,118124,311.195,95,0.25,0,10/16/2022,57383999,22901670,151.2,60.334,22625720,59.607,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",12/23/2020,5,12426877,32.738
Portugal,Europe,5508839,53505.125,0,0,0,25128,244.058,0,0,0,10/16/2022,25658974,9760014,249.2,94.891,8873102,86.181,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",12/23/2020,8,6946902,67.472
Puerto Rico,Americas,978138,34190.432,3432,119.964,0,5248,183.442,15,0.524,0,10/21/2022,7759671,3111819,271.236,108.772,2742280,95.855,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",,4,1713344,59.889
Qatar,Eastern Mediterranean,468737,16269.642,3121,108.328,435,684,23.741,0,0,0,10/24/2022,7584081,2844654,263.24,98.737,2844654,98.737,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",,10,1894773,65.767
Republic of Korea,Western Pacific,25557309,49849.259,245718,479.27,18510,29176,56.907,176,0.343,18,9/30/2022,130834289,45113628,255.191,87.994,44678807,87.146,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2/26/2021,5,33600655,65.538
Republic of Moldova,Europe,593157,14704.076,0,0,0,11887,294.673,0,0,0,9/18/2022,2241785,1101302,55.6,27.301,1071341,26.558,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",3/3/2021,7,370563,9.186
Romania,Europe,3286394,17002.543,3041,15.733,209,67186,347.595,23,0.119,0,10/16/2022,16083871,8183574,83.2,42.339,8136562,42.095,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",1/27/2021,4,1761712,9.114
Russian Federation,Europe,21429506,14684.336,49242,33.743,5781,390175,267.363,549,0.376,71,10/21/2022,179202586,85406305,122.8,58.524,77321901,52.984,"SRCVB - EpiVacCorona, Gamaleya - Sputnik V",,2,NA,NA
Rwanda,Africa,132556,1023.423,0,0,0,1467,11.326,0,0,0,10/16/2022,26106436,9349802,201.56,72.187,9279659,71.645,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/5/2021,7,5562376,42.945
Saba,Americas,732,37868.598,0,0,0,2,103.466,0,0,0,10/21/2022,4471,1687,231.298,87.274,1657,85.722,,,NA,1127,58.303
Saint Helena,Africa,2045,33684.731,13,214.133,0,0,0,0,0,0,5/5/2021,7892,4361,129.995,71.833,3531,58.162,AstraZeneca - AZD1222,,1,NA,NA
Saint Kitts and Nevis,Americas,6548,12310.122,0,0,0,46,86.479,0,0,0,10/21/2022,64225,33794,120.742,63.532,26944,50.654,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,SII - Covishield",2/22/2021,3,3465,6.514
Saint Lucia,Americas,29639,16140.873,3,1.634,0,407,221.645,1,0.545,0,10/21/2022,133286,65297,72.585,35.56,60129,32.745,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2/17/2021,5,7860,4.28
Saint Vincent and the Grenadines,Americas,9457,8524.428,0,0,0,116,104.561,0,0,0,10/21/2022,72935,37310,65.743,33.631,31432,28.332,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Pfizer BioNTech - Comirnaty,SII - Covishield",2/1/2021,5,4193,3.78
Samoa,Western Pacific,15946,8036.731,0,0,0,29,14.616,0,0,0,9/26/2022,440413,191071,221.967,96.299,177489,89.454,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",4/18/2021,2,71853,36.214
San Marino,Europe,21584,63598.326,110,324.12,0,119,350.639,0,0,0,5/22/2022,69338,26357,204.3,76.501,23633,68.595,"Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty",2/24/2021,2,19348,56.158
Sao Tome and Principe,Africa,6266,2859.111,0,0,0,77,35.134,0,0,0,10/9/2022,227603,127399,103.853,58.131,103440,47.199,"AstraZeneca - Vaxzevria,SII - Covishield",3/15/2021,2,32393,14.781
Saudi Arabia,Eastern Mediterranean,822132,2361.507,1798,5.165,195,9406,27.018,13,0.037,1,9/27/2022,67839503,26892699,194.863,77.247,25290533,72.645,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",1/6/2021,10,15656271,44.971
Senegal,Africa,88679,529.619,0,0,0,1968,11.754,0,0,0,10/2/2022,2469499,1563871,14.749,9.34,1150222,6.869,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",2/23/2021,3,499879,2.985
Serbia,Europe,2403249,34695.414,6737,97.261,495,17235,248.82,49,0.707,7,9/4/2022,6717622,3396340,97,49.033,3321282,47.949,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/23/2020,5,0,0
Seychelles,Africa,49035,49859.172,0,0,0,171,173.874,0,0,0,9/25/2022,215396,85492,219.016,86.929,81295,82.661,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Julphar - Hayat-Vax,SII - Covishield",1/10/2021,4,42875,43.596
Sierra Leone,Africa,7754,97.205,0,0,0,125,1.567,0,0,0,10/16/2022,4714794,3441631,59.105,43.145,2659816,33.344,"Beijing CNBG - BBIBP-CorV,SII - Covishield",3/15/2021,2,NA,NA
Singapore,Western Pacific,2099760,35891.235,35597,608.46,3240,1676,28.648,14,0.239,2,9/28/2022,14695435,5161367,251.189,88.223,5120432,87.524,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/30/2020,4,4413636,75.442
Sint Eustatius,Americas,1202,38292.45,6,191.144,0,5,159.286,0,0,0,10/21/2022,4257,1791,135.616,57.056,1686,53.711,,,NA,780,24.849
Sint Maarten,Americas,10922,25469.894,14,32.648,0,88,205.214,1,2.332,0,10/21/2022,65324,29788,152.334,69.465,26515,61.832,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2/22/2021,3,9021,21.037
Slovakia,Europe,1852589,33943.424,1277,23.397,37,20606,377.546,42,0.77,5,10/16/2022,7176980,2838635,131.5,52.01,2790217,51.123,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",1/6/2021,6,1683402,30.844
Slovenia,Europe,1231922,58778.803,5726,273.205,0,8434,402.412,1,0.048,0,10/16/2022,2999524,1233013,143.1,58.831,1202504,57.375,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",12/23/2020,5,654976,31.251
Solomon Islands,Western Pacific,21544,3136.483,0,0,0,153,22.275,0,0,0,10/9/2022,540361,315969,78.668,46,212173,30.889,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield",3/23/2021,4,14725,2.144
Somalia,Eastern Mediterranean,27237,171.375,12,0.076,0,1361,8.563,0,0,0,10/20/2022,7990393,6995177,50.275,44.014,5794542,36.459,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/16/2021,11,NA,NA
South Africa,Africa,4028160,6791.855,2785,4.696,416,102311,172.506,54,0.091,0,10/16/2022,37716831,23780697,63.594,40.096,20852273,35.159,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",2/17/2021,2,3766056,6.35
South Sudan,Africa,17780,158.839,0,0,0,138,1.233,0,0,0,10/16/2022,2177752,2127334,19.455,19.005,2085483,18.631,"Janssen - Ad26.COV 2-S,SII - Covishield",4/6/2021,2,NA,NA
Spain,Europe,13511768,28546.423,23753,50.183,0,115078,243.126,220,0.465,0,10/16/2022,103064170,41287568,217.7,87.229,37488975,79.203,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/30/2020,4,26001927,54.934
Sri Lanka,South-East Asia,671070,3133.901,67,0.313,0,16779,78.358,5,0.023,0,10/19/2022,40013344,17133773,186.863,80.015,14696100,68.631,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",1/29/2021,6,8183471,38.217
Sudan,Eastern Mediterranean,63481,144.771,35,0.08,0,4972,11.339,6,0.014,0,5/30/2022,8179010,6651268,18.653,15.168,4536964,10.347,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/9/2021,11,50234,0.115
Suriname,Americas,81185,13839.17,27,4.603,0,1390,236.946,4,0.682,0,10/21/2022,554588,267820,94.538,45.654,237879,40.55,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2/23/2021,5,48889,8.334
Sweden,Europe,2611580,25287.412,2037,19.724,0,20659,200.037,5,0.048,0,10/16/2022,22750237,7504601,220.3,72.666,7366812,71.331,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",12/23/2020,5,5525594,53.503
Switzerland,Europe,4211443,48661.223,3929,45.398,0,13638,157.581,0,0,0,10/9/2022,15844749,6092913,183.1,70.798,5718238,66.445,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",12/23/2020,4,4093370,47.564
Syrian Arab Republic,Eastern Mediterranean,57359,327.753,11,0.063,1,3163,18.074,0,0,0,10/16/2022,4777586,3050850,27.299,17.433,2105113,12.029,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",4/1/2021,11,75881,0.434
Tajikistan,Europe,17786,186.482,0,0,0,125,1.311,0,0,0,8/21/2022,15441380,5282863,161.9,55.39,5120562,53.688,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/24/2021,6,4951036,51.91
Thailand,South-East Asia,4692448,6722.707,2551,3.655,0,32955,47.213,33,0.047,0,9/30/2022,142635014,57005497,204.348,81.67,53486086,76.628,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,SII - Covovax,Sinovac - CoronaVac",2/28/2021,8,32143431,46.051
The United Kingdom,Europe,23898489,35203.853,18863,27.786,0,193673,285.292,88,0.13,0,9/11/2022,151248820,53813491,222.8,79.068,50762968,74.586,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/21/2020,3,NA,NA
Timor-Leste,South-East Asia,23301,1767.309,1,0.076,0,138,10.467,0,0,0,10/25/2022,1849389,858569,140.27,65.12,756934,57.411,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",4/7/2021,4,233886,17.74
Togo,Africa,39298,474.687,12,0.145,0,290,3.503,1,0.012,0,10/16/2022,3298931,2170804,39.848,26.221,1442218,17.421,SII - Covishield,3/10/2021,1,135563,1.637
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0,9/5/2022,4924,1494,364.741,110.667,1494,110.667,Pfizer BioNTech - Comirnaty,7/20/2021,1,968,71.704
Tonga,Western Pacific,16182,15310.09,0,0,0,12,11.353,0,0,0,10/10/2022,203004,87242,192.066,82.541,76800,72.662,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",4/14/2021,2,38082,36.03
Trinidad and Tobago,Americas,184713,13198.613,189,13.505,0,4249,303.611,8,0.572,0,10/21/2022,1581817,753588,113.028,53.847,717495,51.268,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2/17/2021,5,168941,12.072
Tunisia,Eastern Mediterranean,1146152,9697.85,108,0.914,0,29257,247.55,0,0,0,10/18/2022,13150936,7209283,111.273,60.999,6384257,54.019,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",3/13/2021,10,1248574,10.564
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0,9/4/2022,13514000,3728000,224.1,61.812,3689000,61.165,"Anhui ZL - Zifivax,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,RIBSP - QazVac,SRCVB - EpiVacCorona,Unknown Vaccine",2/24/2021,7,3340000,55.379
Turks and Caicos Islands,Americas,6429,16604.68,49,126.556,0,36,92.98,0,0,0,10/21/2022,72837,32338,188.122,83.522,30288,78.227,Pfizer BioNTech - Comirnaty,1/11/2021,1,7272,18.782
Tuvalu,Western Pacific,23,195.047,0,0,0,0,0,0,0,0,8/31/2022,25591,9603,217.02,81.437,9322,79.054,AstraZeneca - Vaxzevria,4/13/2021,1,5528,46.879
Uganda,Africa,169378,370.298,0,0,0,3630,7.936,0,0,0,10/9/2022,25783131,18867075,56.368,41.248,12765601,27.908,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/10/2021,5,431349,0.943
Ukraine,Europe,5296254,12110.219,16908,38.661,0,110008,251.54,189,0.432,0,2/27/2022,31668577,15774300,72.4,36.069,15153577,34.65,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2/24/2021,6,741197,1.695
United Arab Emirates,Eastern Mediterranean,1037347,10488.421,2251,22.759,324,2348,23.74,0,0,0,7/6/2022,24922054,9991089,251.982,101.018,9792266,99.008,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",,11,5138699,51.956
United Republic of Tanzania,Africa,39920,66.829,0,0,0,845,1.415,0,0,0,10/9/2022,28091873,23687636,47.028,39.655,21723603,36.367,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",7/28/2021,3,NA,NA
United States of America,Americas,95946824,28986.724,0,0,0,1059255,320.014,0,0,0,10/21/2022,625145993,262479511,188.864,79.298,223852280,67.629,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",12/14/2020,4,109654499,33.128
Uruguay,Americas,989629,28488.944,0,0,0,7515,216.338,0,0,0,10/21/2022,8742749,3001735,251.682,86.412,2893918,83.309,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2/27/2021,3,2064111,59.421
Uzbekistan,Europe,244648,730.965,148,0.442,27,1637,4.891,0,0,0,10/9/2022,69218586,21037140,206.8,62.855,17201955,51.396,"Anhui ZL - Zifivax,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac,Unknown Vaccine",4/28/2021,8,14334007,42.827
Vanuatu,Western Pacific,11981,3900.763,0,0,0,14,4.558,0,0,0,8/28/2022,292146,144290,95.117,46.978,131300,42.749,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S",6/2/2021,3,16556,5.39
Venezuela (Bolivarian Republic of),Americas,545718,1919.114,125,0.44,0,5820,20.467,0,0,0,10/21/2022,37860994,22157232,133.145,77.92,14287370,50.244,"Beijing CNBG - BBIBP-CorV,CIGB - CIGB-66,Finlay - Soberana-02,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Sinovac - CoronaVac",2/22/2021,6,651502,2.291
Viet Nam,Western Pacific,11502474,11816.973,5487,5.637,305,43163,44.343,4,0.004,0,10/13/2022,260375471,90028108,267.495,92.49,84393196,86.701,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CIGB - CIGB-66,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",3/8/2021,6,55949328,57.479
Wallis and Futuna,Western Pacific,3415,30366.352,0,0,0,7,62.244,0,0,0,7/26/2022,16782,6592,149.226,58.616,6989,62.147,Moderna - Spikevax,3/19/2021,1,3201,28.463
Yemen,Eastern Mediterranean,11939,40.029,0,0,0,2158,7.235,0,0,0,10/20/2022,1139242,914722,3.82,3.067,669393,2.244,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",4/20/2021,11,54985,0.184
Zambia,Africa,333669,1815.001,25,0.136,0,4017,21.851,0,0,0,10/16/2022,9315275,8556919,50.671,46.546,6354938,34.568,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",4/14/2021,3,724977,3.944
Zimbabwe,Africa,257893,1735.143,0,0,0,5606,37.718,0,0,0,10/16/2022,12622764,6542794,84.928,44.021,4902925,32.988,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Sinovac - CoronaVac",2/18/2021,4,1177045,7.919
